GC1825_00260_region vs A0A841YHN3_region
----------------------------------------
Query	Target	Identity	Similarity
P2C9--rfam_00256	MBC1399804.1	0.2077	0.3385
P2C9--rfam_00257	MBC1399801.1	0.2636	0.4411
P2C9--rfam_00260	MBC1399799.1	0.3455	0.5091
P2C9--rfam_00265	MBC1399799.1	0.2883	0.4955

GC1825_00260_region vs A0A1E5KV91_region
----------------------------------------
Query	Target	Identity	Similarity
P2C9--rfam_00256	OEH81504.1	0.2324	0.3944
P2C9--rfam_00257	OEH81505.1	0.2865	0.4538
P2C9--rfam_00258	OEH81506.1	0.2255	0.3725
P2C9--rfam_00259	OEH81506.1	0.2170	0.4009
P2C9--rfam_00260	OEH81507.1	0.4000	0.5619
P2C9--rfam_00260	OEH81557.1	0.3103	0.5345
P2C9--rfam_00260	BCR26_04525	0.2119	0.3559
P2C9--rfam_00260	OEH81513.1	0.4000	0.5905
P2C9--rfam_00261	OEH81504.1	0.2426	0.3456
P2C9--rfam_00264	OEH81506.1	0.2099	0.3786
P2C9--rfam_00264	OEH81508.1	0.2101	0.3261
P2C9--rfam_00265	OEH81507.1	0.3645	0.5794
P2C9--rfam_00265	OEH81557.1	0.4035	0.5614
P2C9--rfam_00265	OEH81512.1	0.2030	0.2843
P2C9--rfam_00265	OEH81513.1	0.4299	0.5794

GC1825_00260_region vs A0A1H9B3K6_region
----------------------------------------
Query	Target	Identity	Similarity
P2C9--rfam_00258	SEP83408.1	0.2054	0.3348
P2C9--rfam_00260	SEP83439.1	0.3019	0.5283
P2C9--rfam_00260	SEP83479.1	0.2202	0.3119
P2C9--rfam_00262	SEP83369.1	0.2058	0.3442
P2C9--rfam_00265	SEP83439.1	0.3704	0.5185

A0A841YHN3_region vs A0A1E5KV91_region
--------------------------------------
Query	Target	Identity	Similarity
MBC1399797.1	OEH81506.1	0.2000	0.3038
MBC1399799.1	OEH81507.1	0.3125	0.4554
MBC1399799.1	OEH81509.1	0.2683	0.3415
MBC1399799.1	OEH81557.1	0.2881	0.4746
MBC1399799.1	BCR26_04525	0.2288	0.3051
MBC1399799.1	OEH81513.1	0.3585	0.5000
MBC1399800.1	OEH81508.1	0.3293	0.5000
MBC1399801.1	OEH81505.1	0.3427	0.5161
MBC1399802.1	OEH81504.1	0.2222	0.3968
MBC1399803.1	OEH81557.1	0.2066	0.3967

A0A841YHN3_region vs A0A1H9B3K6_region
--------------------------------------
Query	Target	Identity	Similarity
MBC1399799.1	SEP83439.1	0.4393	0.6168
MBC1399800.1	SEP83408.1	0.2430	0.3785
MBC1399801.1	SEP83369.1	0.2168	0.4019

A0A1E5KV91_region vs A0A1H9B3K6_region
--------------------------------------
Query	Target	Identity	Similarity
OEH81506.1	SEP83408.1	0.2092	0.3598
OEH81507.1	SEP83439.1	0.3163	0.5000
OEH81509.1	SEP83439.1	0.2036	0.2695
OEH81557.1	SEP83439.1	0.3394	0.5321
OEH81510.1	SEP83408.1	0.2026	0.3750
BCR26_04525	SEP83439.1	0.2202	0.3761
OEH81513.1	SEP83439.1	0.3700	0.5300
