A0A0A0WNM1_region vs J7Y3Y8_region
----------------------------------
Query	Target	Identity	Similarity
SCM94289.1	EJQ51599.1	0.8274	0.8589
SCM94292.1	EJQ51600.1	0.9960	0.9960
SCM94293.1	EJQ51601.1	1.0000	1.0000
SCM94295.1	EJQ51602.1	1.0000	1.0000
SCM94295.1	EJQ51604.1	0.2537	0.5075
SCM94296.1	EJQ51603.1	1.0000	1.0000
SCM94297.1	EJQ51602.1	0.2537	0.5075
SCM94297.1	EJQ51604.1	1.0000	1.0000
SCM94299.1	EJQ51605.1	0.4892	0.5385
SCM94302.1	EJQ51607.1	0.9865	0.9910
SCM94303.1	EJQ51601.1	0.2163	0.3343

A0A0A0WNM1_region vs A0A1W6A4D0_region
--------------------------------------
Query	Target	Identity	Similarity
SCM94293.1	ARJ20665.1	0.2059	0.3366
SCM94293.1	ARJ20670.1	0.2443	0.3858
SCM94295.1	ARJ20671.1	0.2800	0.5200
SCM94295.1	ARJ20672.1	0.2462	0.4923
SCM94296.1	ARJ20673.1	0.7195	0.8780
SCM94297.1	ARJ20672.1	0.2742	0.4516

A0A0A0WNM1_region vs A0A2A7DD28_region
--------------------------------------
Query	Target	Identity	Similarity
SCM94293.1	PDZ17889.1	0.3148	0.5180
SCM94295.1	PDZ17888.1	0.2615	0.5846
SCM94296.1	PDZ17887.1	0.9268	0.9756
SCM94296.1	PDZ17890.1	0.2000	0.3238
SCM94296.1	PDZ18189.1	0.2316	0.3053
SCM94297.1	PDZ17888.1	0.2769	0.5077

J7Y3Y8_region vs A0A1W6A4D0_region
----------------------------------
Query	Target	Identity	Similarity
EJQ51601.1	ARJ20665.1	0.2059	0.3366
EJQ51601.1	ARJ20670.1	0.2443	0.3858
EJQ51602.1	ARJ20671.1	0.2800	0.5200
EJQ51602.1	ARJ20672.1	0.2462	0.4923
EJQ51603.1	ARJ20673.1	0.7195	0.8780
EJQ51604.1	ARJ20672.1	0.2742	0.4516

J7Y3Y8_region vs A0A2A7DD28_region
----------------------------------
Query	Target	Identity	Similarity
EJQ51601.1	PDZ17889.1	0.3148	0.5180
EJQ51602.1	PDZ17888.1	0.2615	0.5846
EJQ51603.1	PDZ17887.1	0.9268	0.9756
EJQ51603.1	PDZ17890.1	0.2000	0.3238
EJQ51603.1	PDZ18189.1	0.2316	0.3053
EJQ51604.1	PDZ17888.1	0.2769	0.5077

A0A1W6A4D0_region vs A0A2A7DD28_region
--------------------------------------
Query	Target	Identity	Similarity
ARJ20666.1	PDZ17885.1	0.2000	0.2400
ARJ20667.1	PDZ17885.1	0.2000	0.3238
ARJ20670.1	PDZ17889.1	0.2243	0.3570
ARJ20671.1	PDZ17888.1	0.2400	0.4933
ARJ20672.1	PDZ18189.1	0.2000	0.3125
ARJ20673.1	PDZ17887.1	0.7073	0.8780
